id,nombre,horasTrabajadas,sueldo
2,1,0,28/11/2019,Honduras,80,17,19
85,2,0,28/11/2019,Rusia,81,15,21
72,2,0,28/11/2019,China,61,15,20
93,4,0,26/11/2019,Portugal,74,13,22
94,1,0,26/11/2019,Alemania,52,13,20
78,2,0,26/11/2019,Francia,61,16,22
18,1,0,26/11/2019,China,96,13,23
86,4,0,26/11/2019,Francia,58,17,18
62,2,0,26/11/2019,China,89,16,21
65,1,0,26/11/2019,Portugal,54,17,18
25,1,0,28/11/2019,Colombia,65,16,21
73,1,0,27/11/2019,Alemania,76,15,18
17,2,0,27/11/2019,Venezuela,97,14,18
3,3,0,28/11/2019,Francia,87,14,23
96,2,0,27/11/2019,Portugal,84,15,20
95,2,0,26/11/2019,Italia,66,14,18
33,5,0,26/11/2019,Francia,78,16,19
15,2,0,27/11/2019,Uruguay,75,15,19
100,2,0,28/11/2019,Chile,73,15,21
69,2,0,28/11/2019,Irlanda,71,15,18
99,4,0,28/11/2019,Francia,69,14,18
52,2,0,28/11/2019,Chile,50,15,21
45,3,0,26/11/2019,Italia,54,15,18
50,3,0,28/11/2019,Portugal,65,17,18
91,3,0,27/11/2019,Rusia,92,14,21
29,3,0,27/11/2019,Irlanda,54,14,20
9,2,0,26/11/2019,Colombia,76,14,23
81,5,0,26/11/2019,Chile,54,17,19
23,1,0,28/11/2019,Uruguay,72,17,22
46,4,0,28/11/2019,Portugal,91,17,19
76,5,0,28/11/2019,Honduras,89,15,21
88,2,0,26/11/2019,Uruguay,59,13,19
42,2,0,28/11/2019,Irlanda,65,13,21
27,4,0,26/11/2019,Alemania,82,16,23
97,3,0,26/11/2019,Italia,52,15,22
43,2,0,28/11/2019,Alemania,81,16,23
70,4,0,27/11/2019,China,94,14,21
54,1,0,28/11/2019,Irlanda,81,13,22
66,5,0,28/11/2019,Italia,60,16,18
59,3,0,26/11/2019,Irlanda,98,17,18
53,1,0,27/11/2019,Francia,90,16,22
55,3,0,26/11/2019,Italia,95,13,23
84,4,0,26/11/2019,Alemania,88,15,23
20,2,0,27/11/2019,Alemania,80,17,20
21,2,0,28/11/2019,Irlanda,55,15,23
12,3,0,26/11/2019,Colombia,62,16,21
63,4,0,28/11/2019,Alemania,98,15,21
49,3,0,28/11/2019,Portugal,63,16,21
51,1,0,28/11/2019,Francia,79,15,20
36,1,0,27/11/2019,Colombia,74,16,23
41,2,0,26/11/2019,China,89,14,21
71,2,0,28/11/2019,Francia,72,14,19
39,3,0,27/11/2019,Honduras,92,17,23
56,4,0,26/11/2019,Rusia,72,17,20
38,3,0,27/11/2019,Alemania,93,15,20
58,3,0,26/11/2019,Colombia,81,16,18
98,4,0,27/11/2019,Rusia,85,16,23
75,4,0,26/11/2019,Colombia,50,15,21
19,1,0,26/11/2019,Alemania,99,14,22
32,5,0,28/11/2019,Honduras,99,14,19
68,2,0,26/11/2019,Italia,95,13,21
47,3,0,27/11/2019,Uruguay,77,14,21
67,1,0,28/11/2019,China,99,15,18
79,3,0,27/11/2019,Honduras,62,15,23
11,1,0,26/11/2019,Portugal,100,17,21
24,2,0,28/11/2019,Venezuela,92,16,21
30,5,0,26/11/2019,Chile,68,14,20
8,2,0,28/11/2019,Honduras,91,13,21
60,4,0,27/11/2019,Francia,51,14,18
89,4,0,26/11/2019,Uruguay,63,17,21
1,4,0,28/11/2019,Portugal,95,15,18
10,3,0,28/11/2019,Uruguay,64,16,21
13,2,0,28/11/2019,Alemania,84,15,23
92,4,0,26/11/2019,Honduras,83,15,18
7,2,0,27/11/2019,Venezuela,98,13,19
31,2,0,27/11/2019,Colombia,93,13,19
35,3,0,28/11/2019,Francia,50,16,19
64,1,0,26/11/2019,Uruguay,52,13,19
44,5,0,26/11/2019,Rusia,100,13,21
26,5,0,26/11/2019,Irlanda,85,17,18
61,5,0,28/11/2019,Irlanda,91,15,19
77,2,0,27/11/2019,Colombia,73,17,22
37,1,0,28/11/2019,Irlanda,53,16,18
6,2,0,27/11/2019,Alemania,79,13,19
83,3,0,27/11/2019,Honduras,82,13,20
40,2,0,26/11/2019,Chile,53,14,19
5,5,0,27/11/2019,Portugal,55,14,19
90,1,0,27/11/2019,Chile,94,14,22
22,2,0,26/11/2019,Rusia,94,17,21
87,2,0,27/11/2019,Alemania,94,15,22
80,4,0,26/11/2019,Italia,56,17,19
34,4,0,27/11/2019,Irlanda,74,16,22
48,2,0,28/11/2019,Uruguay,51,14,19
28,3,0,27/11/2019,Rusia,89,15,19
14,4,0,28/11/2019,Uruguay,79,15,19
74,4,0,26/11/2019,Uruguay,84,14,23
82,3,0,26/11/2019,Francia,99,17,18
4,4,0,27/11/2019,Irlanda,84,16,19
16,5,0,28/11/2019,Uruguay,57,13,18
57,5,0,26/11/2019,Colombia,50,14,23
